Astronaut,Amanda Palmer,,Who Killed Amanda Palmer [Alternate Tracks],,,11788861,279,,,14,,2008,01/08/2014 21:02,01/08/2014 22:11,320,44100,,MPEG audio file,,Visit http://music.amandapalmer.net,24,04/05/2015 19:02,2,21/01/2015 01:25,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Amanda Palmer:Who Killed Amanda Palmer [Alternate Tracks]:14 Astronaut.mp3
The Killing Type [Explicit],Amanda Palmer & The Grand Theft Orchestra,,Theatre Is Evil [Explicit],,Alternative Rock,8181230,269,1,1,3,15,2012,14/01/2014 16:45,18/06/2014 14:54,238,44100,,MPEG audio file,,Amazon.com Song ID: 230568849,17,04/05/2015 19:20,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Amanda Palmer & The Grand Theft Orchestra:Theatre Is Evil [Explicit]:03 The Killing Type [Explicit].mp3
Do It With a Rockstar,Amanda Palmer & The Grand Theft Orchestra,,Theatre Is Evil [Explicit],,Alternative Rock,8166672,265,1,1,4,15,2012,14/01/2014 16:45,18/06/2014 14:54,242,44100,,MPEG audio file,,Amazon.com Song ID: 230568850,16,04/05/2015 19:10,1,04/04/2015 11:39,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Amanda Palmer & The Grand Theft Orchestra:Theatre Is Evil [Explicit]:04 Do It With a Rockstar.mp3
Want It Back,Amanda Palmer & The Grand Theft Orchestra,,Theatre Is Evil [Explicit],,Alternative Rock,8185994,249,1,1,5,15,2012,14/01/2014 16:45,18/06/2014 14:54,258,44100,,MPEG audio file,,Amazon.com Song ID: 230568851,34,26/05/2015 00:13,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Amanda Palmer & The Grand Theft Orchestra:Theatre Is Evil [Explicit]:05 Want It Back.mp3
The Bed Song,Amanda Palmer & The Grand Theft Orchestra,,Theatre Is Evil [Explicit],,Alternative Rock,9440208,367,1,1,11,15,2012,14/01/2014 16:45,18/06/2014 14:54,202,44100,,MPEG audio file,,Amazon.com Song ID: 230568857,9,05/03/2015 23:27,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Amanda Palmer & The Grand Theft Orchestra:Theatre Is Evil [Explicit]:11 The Bed Song.mp3
Massachusetts Avenue,Amanda Palmer & The Grand Theft Orchestra,,Theatre Is Evil [Explicit],,Alternative Rock,9087432,280,1,1,12,15,2012,14/01/2014 16:45,18/06/2014 14:54,255,44100,,MPEG audio file,,Amazon.com Song ID: 230568858,12,04/05/2015 19:39,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Amanda Palmer & The Grand Theft Orchestra:Theatre Is Evil [Explicit]:12 Massachusetts Avenue.mp3
Melody Dean,Amanda Palmer & The Grand Theft Orchestra,,Theatre Is Evil [Explicit],,Alternative Rock,7104938,242,1,1,13,15,2012,14/01/2014 16:45,18/06/2014 14:54,230,44100,,MPEG audio file,,Amazon.com Song ID: 230568859,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Amanda Palmer & The Grand Theft Orchestra:Theatre Is Evil [Explicit]:13 Melody Dean.mp3
Berlin,Amanda Palmer & The Grand Theft Orchestra,,Theatre Is Evil [Explicit],,Alternative Rock,12845088,437,1,1,14,15,2012,14/01/2014 16:45,18/06/2014 14:54,232,44100,,MPEG audio file,,Amazon.com Song ID: 230568860,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Amanda Palmer & The Grand Theft Orchestra:Theatre Is Evil [Explicit]:14 Berlin.mp3
Olly Olly Oxen Free [Explicit],Amanda Palmer & The Grand Theft Orchestra,,Theatre Is Evil [Explicit],,Alternative Rock,6949437,246,1,1,15,15,2012,14/01/2014 16:45,18/06/2014 14:54,221,44100,,MPEG audio file,,Amazon.com Song ID: 230568861,1,23/08/2014 22:04,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Amanda Palmer & The Grand Theft Orchestra:Theatre Is Evil [Explicit]:15 Olly Olly Oxen Free [Explicit].mp3
Deep Red,Apoptygma Berzerk,,The Apopcalyptic Manifesto,,Alternative,5798520,239,,,2,,,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Apopcalyptic Manifesto:02 Deep Red.mp3
Bitch,Apoptygma Berzerk,,The Apopcalyptic Manifesto,,Alternative,7490220,265,,,3,,,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Apopcalyptic Manifesto:03 Bitch.mp3
Stitch,Apoptygma Berzerk,,The Apopcalyptic Manifesto,,Alternative,4784808,299,,,4,,,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Apopcalyptic Manifesto:04 Stitch.mp3
Spiritual Reality,Apoptygma Berzerk,,The Apopcalyptic Manifesto,,Alternative,7550725,279,,,5,,,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Apopcalyptic Manifesto:05 Spiritual Reality.mp3
